                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.4176,                 1.2814,                 1.5774,                 0.0355,                0.63636,                0.03406,                0.01506,                  2.203,                 12.117,                 2.3148,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3754,                  1.332,                 1.5575,                 0.0355,                0.63636,                0.03406,                0.01506,                  2.203,                 12.117,                 2.3148,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3392,                  1.282,                 1.5231,                0.06978,                0.90909,                0.08199,                0.03698,                 2.1827,                 7.2772,                 2.3163,                0.00101,                0.00101,                0.00101
                     52,                 1.4424,                 1.3945,                 1.6413,                0.20979,                0.54545,                0.20369,                0.12958,                 1.3138,                 2.7613,                 1.5989,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3389,                  1.277,                 1.5846,                0.20979,                0.54545,                0.20369,                0.12958,                 1.3138,                 2.7613,                 1.5989,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4187,                 1.3321,                 1.5784,                0.51019,                0.63636,                0.49785,                0.30539,                 1.3161,                 2.0049,                  1.575,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4201,                 1.2906,                 1.5647,                 0.6976,                0.63636,                 0.6622,                0.47942,                0.95063,                   1.52,                 1.3561,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3897,                 1.3362,                 1.6306,                 0.6976,                0.63636,                 0.6622,                0.47942,                0.95063,                   1.52,                 1.3561,               0.000911,               0.000911,               0.000911
                     57,                 1.3722,                 1.2726,                 1.6135,                0.54683,                0.76935,                0.69728,                0.46071,                 1.0062,                 1.4303,                 1.3821,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2616,                  1.213,                 1.5237,                0.54683,                0.76935,                0.69728,                0.46071,                 1.0062,                 1.4303,                 1.3821,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2219,                 1.1458,                 1.4868,                0.65265,                0.90909,                0.66625,                 0.4312,                 1.0435,                 1.4419,                 1.4374,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3176,                 1.2014,                 1.5464,                0.54153,                0.81818,                0.61571,                0.38593,                 1.1582,                 1.4694,                 1.5431,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3704,                 1.3753,                 1.6116,                0.54153,                0.81818,                0.61571,                0.38593,                 1.1582,                 1.4694,                 1.5431,               0.000812,               0.000812,               0.000812
                     62,                 1.3123,                 1.2932,                  1.515,                0.64854,                0.72727,                 0.6294,                0.39378,                 1.3082,                 1.4048,                 1.6288,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3038,                 1.2023,                 1.5082,                0.62403,                0.90909,                0.68501,                0.43528,                 1.2002,                 1.2571,                 1.5591,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2444,                 1.1264,                 1.4747,                0.62403,                0.90909,                0.68501,                0.43528,                 1.2002,                 1.2571,                 1.5591,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2084,                 1.0864,                 1.4288,                0.79787,                0.81818,                0.78654,                0.53237,                 1.0223,                 1.2699,                 1.4246,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2393,                 1.1381,                 1.4952,                0.79787,                0.81818,                0.78654,                0.53237,                 1.0223,                 1.2699,                 1.4246,               0.000713,               0.000713,               0.000713
                     67,                 1.1563,                 1.0437,                 1.4319,                0.74953,                0.81818,                0.86542,                0.56081,                 1.0293,                 1.4539,                 1.4811,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1637,                 1.0479,                 1.4601,                0.74999,                0.81818,                0.89145,                0.56904,                 1.0731,                 1.5611,                 1.5075,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1181,                 1.0272,                 1.4087,                0.74999,                0.81818,                0.89145,                0.56904,                 1.0731,                 1.5611,                 1.5075,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1939,                 1.0805,                 1.4686,                0.87707,                0.81818,                 0.8802,                0.63398,                0.97789,                 1.4799,                 1.4014,              0.0006338,              0.0006338,              0.0006338
